gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
81,-74.2543,40.50672,2,1,60.08
83,-74.2543,40.50852,2,2,60.08
104,-74.25312,40.50402,2,1,60.08
107,-74.25312,40.50672,2,3,60.08
108,-74.25312,40.507618,2,1,60.08
109,-74.25312,40.50852,2,1,60.08
130,-74.25194,40.503124,2,1,60.08
134,-74.25194,40.50672,2,7,60.08
139,-74.25194,40.511215,2,2,60.08
140,-74.25194,40.512115,2,1,60.08
166,-74.250755,40.51032,2,1,60.08
169,-74.250755,40.513016,2,5,60.08
190,-74.24957,40.502224,2,2,60.08
195,-74.24957,40.50672,2,1,60.08
199,-74.24957,40.51032,2,1,60.08
200,-74.24957,40.511215,2,76,60.08
201,-74.24957,40.512115,2,103,60.08
202,-74.24957,40.513016,2,1,60.08
235,-74.24839,40.502224,2,1,60.08
243,-74.24839,40.50942,2,1,60.08
244,-74.24839,40.51032,2,12,60.08
247,-74.24839,40.513016,2,1,60.08
249,-74.24839,40.514812,2,3,60.08
300,-74.24721,40.512115,2,3,60.08
356,-74.246025,40.50852,2,2,60.08
357,-74.246025,40.50942,2,5,60.08
358,-74.246025,40.51032,2,2,60.08
359,-74.246025,40.511215,2,3,60.08
361,-74.246025,40.513016,2,1,60.08
363,-74.246025,40.514812,2,1,60.08
420,-74.24484,40.507618,2,3,60.08
422,-74.24484,40.50942,2,5,60.08
424,-74.24484,40.511215,2,3,60.08
426,-74.24484,40.513016,2,1,60.08
427,-74.24484,40.513916,2,6,60.08
485,-74.24366,40.50672,2,1,60.08
487,-74.24366,40.50852,2,2,60.08
488,-74.24366,40.50942,2,1,60.08
489,-74.24366,40.51032,2,2,60.08
490,-74.24366,40.511215,2,1,60.08
549,-74.24248,40.503124,2,2,60.08
552,-74.24248,40.50582,2,3,60.08
557,-74.24248,40.51032,2,2,60.08
559,-74.24248,40.512115,2,3,60.08
561,-74.24248,40.513916,2,1,60.08
562,-74.24248,40.514812,2,4,60.08
564,-74.24248,40.516613,2,1,60.08
613,-74.241295,40.498627,2,3,60.08
616,-74.241295,40.501324,2,5,60.08
619,-74.241295,40.50402,2,2,60.08
625,-74.241295,40.50942,2,1,60.08
626,-74.241295,40.51032,2,1,60.08
