gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
81,-74.2543,40.50672,1,1,60.08
102,-74.25312,40.502224,1,1,60.08
104,-74.25312,40.50402,1,1,60.08
107,-74.25312,40.50672,1,2,60.08
108,-74.25312,40.507618,1,2,60.08
109,-74.25312,40.50852,1,2,60.08
136,-74.25194,40.50852,1,1,60.08
139,-74.25194,40.511215,1,1,60.08
140,-74.25194,40.512115,1,2,60.08
162,-74.250755,40.50672,1,1,60.08
166,-74.250755,40.51032,1,1,60.08
167,-74.250755,40.511215,1,1,60.08
168,-74.250755,40.512115,1,2,60.08
169,-74.250755,40.513016,1,3,60.08
170,-74.250755,40.513916,1,1,60.08
192,-74.24957,40.50402,1,1,60.08
193,-74.24957,40.50492,1,1,60.08
196,-74.24957,40.507618,1,1,60.08
197,-74.24957,40.50852,1,1,60.08
199,-74.24957,40.51032,1,1,60.08
200,-74.24957,40.511215,1,46,60.08
201,-74.24957,40.512115,1,43,60.08
202,-74.24957,40.513016,1,2,60.08
241,-74.24839,40.507618,1,2,60.08
242,-74.24839,40.50852,1,1,60.08
244,-74.24839,40.51032,1,10,60.08
247,-74.24839,40.513016,1,3,60.08
248,-74.24839,40.513916,1,2,60.08
289,-74.24721,40.502224,1,2,60.08
291,-74.24721,40.50402,1,1,60.08
292,-74.24721,40.50492,1,2,60.08
295,-74.24721,40.507618,1,1,60.08
297,-74.24721,40.50942,1,2,60.08
299,-74.24721,40.511215,1,1,60.08
300,-74.24721,40.512115,1,1,60.08
302,-74.24721,40.513916,1,1,60.08
355,-74.246025,40.507618,1,1,60.08
356,-74.246025,40.50852,1,1,60.08
358,-74.246025,40.51032,1,2,60.08
410,-74.24484,40.498627,1,1,60.08
415,-74.24484,40.503124,1,2,60.08
418,-74.24484,40.50582,1,2,60.08
419,-74.24484,40.50672,1,1,60.08
424,-74.24484,40.511215,1,2,60.08
425,-74.24484,40.512115,1,2,60.08
427,-74.24484,40.513916,1,2,60.08
428,-74.24484,40.514812,1,2,60.08
429,-74.24484,40.515713,1,4,60.08
477,-74.24366,40.499527,1,2,60.08
482,-74.24366,40.50402,1,1,60.08
485,-74.24366,40.50672,1,1,60.08
487,-74.24366,40.50852,1,1,60.08
489,-74.24366,40.51032,1,4,60.08
490,-74.24366,40.511215,1,3,60.08
495,-74.24366,40.515713,1,1,60.08
545,-74.24248,40.499527,1,1,60.08
552,-74.24248,40.50582,1,6,60.08
555,-74.24248,40.50852,1,1,60.08
557,-74.24248,40.51032,1,1,60.08
562,-74.24248,40.514812,1,2,60.08
564,-74.24248,40.516613,1,1,60.08
616,-74.241295,40.501324,1,1,60.08
619,-74.241295,40.50402,1,2,60.08
620,-74.241295,40.50492,1,1,60.08
621,-74.241295,40.50582,1,1,60.08
624,-74.241295,40.50852,1,1,60.08
626,-74.241295,40.51032,1,1,60.08
627,-74.241295,40.511215,1,3,60.08
629,-74.241295,40.513016,1,6,60.08
631,-74.241295,40.514812,1,1,60.08
656,-74.241295,40.537296,1,1,60.08
683,-74.24011,40.499527,1,5,60.08
685,-74.24011,40.501324,1,3,60.08
688,-74.24011,40.50402,1,4,60.08
690,-74.24011,40.50582,1,1,60.08
696,-74.24011,40.511215,1,2,60.08
701,-74.24011,40.515713,1,1,60.08
702,-74.24011,40.516613,1,2,60.08
703,-74.24011,40.517513,1,1,60.08
753,-74.23893,40.499527,1,1,60.08
754,-74.23893,40.500423,1,1,60.08
755,-74.23893,40.501324,1,3,60.08
758,-74.23893,40.50402,1,1,60.08
760,-74.23893,40.50582,1,2,60.08
763,-74.23893,40.50852,1,1,60.08
765,-74.23893,40.51032,1,2,60.08
772,-74.23893,40.516613,1,1,60.08
777,-74.23893,40.52111,1,1,60.08
779,-74.23893,40.522907,1,1,60.08
785,-74.23893,40.528305,1,1,60.08
793,-74.23893,40.5355,1,2,60.08
796,-74.23893,40.538197,1,1,60.08
826,-74.23775,40.501324,1,3,60.08
829,-74.23775,40.50402,1,3,60.08
831,-74.23775,40.50582,1,2,60.08
840,-74.23775,40.513916,1,2,60.08
841,-74.23775,40.514812,1,2,60.08
844,-74.23775,40.517513,1,1,60.08
864,-74.23775,40.5355,1,1,60.08
865,-74.23775,40.536396,1,1,60.08
867,-74.23775,40.538197,1,4,60.08
869,-74.23775,40.539993,1,7,60.08
870,-74.23775,40.540894,1,1,60.08
898,-74.236565,40.500423,1,1,60.08
900,-74.236565,40.502224,1,1,60.08
901,-74.236565,40.503124,1,1,60.08
907,-74.236565,40.50852,1,1,60.08
909,-74.236565,40.51032,1,1,60.08
910,-74.236565,40.511215,1,3,60.08
913,-74.236565,40.513916,1,3,60.08
914,-74.236565,40.514812,1,7,60.08
915,-74.236565,40.515713,1,3,60.08
925,-74.236565,40.524708,1,3,60.08
929,-74.236565,40.528305,1,3,60.08
936,-74.236565,40.5346,1,7,60.08
974,-74.23538,40.502224,1,1,60.08
978,-74.23538,40.50582,1,1,60.08
979,-74.23538,40.50672,1,2,60.08
983,-74.23538,40.51032,1,1,60.08
987,-74.23538,40.513916,1,1,60.08
988,-74.23538,40.514812,1,4,60.08
995,-74.23538,40.52111,1,1,60.08
996,-74.23538,40.522007,1,7,60.08
998,-74.23538,40.523808,1,2,60.08
1010,-74.23538,40.5346,1,1,60.08
1014,-74.23538,40.538197,1,4,60.08
1053,-74.2342,40.50672,1,1,60.08
1058,-74.2342,40.511215,1,2,60.08
1060,-74.2342,40.513016,1,1,60.08
1063,-74.2342,40.515713,1,7,60.08
1065,-74.2342,40.517513,1,7,60.08
1069,-74.2342,40.52111,1,1,60.08
1071,-74.2342,40.522907,1,2,60.08
1083,-74.2342,40.5337,1,1,60.08
1101,-74.2342,40.54989,1,2,60.08
1129,-74.23302,40.507618,1,3,60.08
1133,-74.23302,40.511215,1,1,60.08
1140,-74.23302,40.517513,1,2,60.08
1148,-74.23302,40.524708,1,1,60.08
1170,-74.23302,40.54449,1,1,60.08
1204,-74.231834,40.50672,1,2,60.08
1207,-74.231834,40.50942,1,1,60.08
1210,-74.231834,40.512115,1,2,60.08
1284,-74.23065,40.50852,1,1,60.08
1287,-74.23065,40.511215,1,3,60.08
1295,-74.23065,40.51841,1,2,60.08
1305,-74.23065,40.527405,1,2,60.08
1316,-74.23065,40.537296,1,1,60.08
1325,-74.23065,40.54539,1,3,60.08
1327,-74.23065,40.547188,1,1,60.08
1329,-74.23065,40.54899,1,1,60.08
1361,-74.22947,40.50852,1,1,60.08
1376,-74.22947,40.522007,1,1,60.08
1403,-74.22947,40.54629,1,3,60.08
1450,-74.22829,40.51931,1,3,60.08
1481,-74.22829,40.547188,1,1,60.08
1703,-74.22474,40.537296,1,2,60.08
1706,-74.22474,40.539993,1,1,60.08
1748,-74.22356,40.507618,1,1,60.08
1749,-74.22356,40.50852,1,1,60.08
1765,-74.22356,40.522907,1,1,60.08
1775,-74.22356,40.531902,1,1,60.08
1781,-74.22356,40.537296,1,4,60.08
