gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
57,-74.255486,40.507618,3,2,60.08
81,-74.2543,40.50672,3,1,60.08
102,-74.25312,40.502224,3,1,60.08
107,-74.25312,40.50672,3,1,60.08
109,-74.25312,40.50852,3,2,60.08
134,-74.25194,40.50672,3,4,60.08
135,-74.25194,40.507618,3,1,60.08
165,-74.250755,40.50942,3,1,60.08
166,-74.250755,40.51032,3,1,60.08
168,-74.250755,40.512115,3,1,60.08
169,-74.250755,40.513016,3,6,60.08
190,-74.24957,40.502224,3,8,60.08
191,-74.24957,40.503124,3,2,60.08
194,-74.24957,40.50582,3,1,60.08
200,-74.24957,40.511215,3,34,60.08
201,-74.24957,40.512115,3,49,60.08
238,-74.24839,40.50492,3,2,60.08
241,-74.24839,40.507618,3,1,60.08
242,-74.24839,40.50852,3,1,60.08
243,-74.24839,40.50942,3,3,60.08
244,-74.24839,40.51032,3,11,60.08
247,-74.24839,40.513016,3,2,60.08
248,-74.24839,40.513916,3,2,60.08
249,-74.24839,40.514812,3,3,60.08
289,-74.24721,40.502224,3,1,60.08
291,-74.24721,40.50402,3,1,60.08
292,-74.24721,40.50492,3,2,60.08
297,-74.24721,40.50942,3,1,60.08
300,-74.24721,40.512115,3,3,60.08
302,-74.24721,40.513916,3,4,60.08
348,-74.246025,40.501324,3,1,60.08
350,-74.246025,40.503124,3,1,60.08
351,-74.246025,40.50402,3,2,60.08
353,-74.246025,40.50582,3,5,60.08
355,-74.246025,40.507618,3,2,60.08
356,-74.246025,40.50852,3,1,60.08
357,-74.246025,40.50942,3,1,60.08
358,-74.246025,40.51032,3,2,60.08
363,-74.246025,40.514812,3,3,60.08
410,-74.24484,40.498627,3,2,60.08
422,-74.24484,40.50942,3,2,60.08
427,-74.24484,40.513916,3,2,60.08
429,-74.24484,40.515713,3,2,60.08
477,-74.24366,40.499527,3,1,60.08
481,-74.24366,40.503124,3,1,60.08
482,-74.24366,40.50402,3,1,60.08
484,-74.24366,40.50582,3,1,60.08
487,-74.24366,40.50852,3,3,60.08
488,-74.24366,40.50942,3,1,60.08
489,-74.24366,40.51032,3,1,60.08
493,-74.24366,40.513916,3,3,60.08
494,-74.24366,40.514812,3,2,60.08
495,-74.24366,40.515713,3,1,60.08
545,-74.24248,40.499527,3,1,60.08
546,-74.24248,40.500423,3,5,60.08
549,-74.24248,40.503124,3,6,60.08
556,-74.24248,40.50942,3,1,60.08
557,-74.24248,40.51032,3,3,60.08
558,-74.24248,40.511215,3,2,60.08
559,-74.24248,40.512115,3,1,60.08
560,-74.24248,40.513016,3,1,60.08
562,-74.24248,40.514812,3,3,60.08
613,-74.241295,40.498627,3,1,60.08
619,-74.241295,40.50402,3,2,60.08
621,-74.241295,40.50582,3,2,60.08
624,-74.241295,40.50852,3,1,60.08
626,-74.241295,40.51032,3,1,60.08
627,-74.241295,40.511215,3,1,60.08
629,-74.241295,40.513016,3,6,60.08
682,-74.24011,40.498627,3,4,60.08
685,-74.24011,40.501324,3,6,60.08
688,-74.24011,40.50402,3,1,60.08
696,-74.24011,40.511215,3,1,60.08
697,-74.24011,40.512115,3,3,60.08
700,-74.24011,40.514812,3,2,60.08
702,-74.24011,40.516613,3,2,60.08
703,-74.24011,40.517513,3,1,60.08
723,-74.24011,40.5355,3,1,60.08
726,-74.24011,40.538197,3,2,60.08
727,-74.24011,40.539097,3,2,60.08
753,-74.23893,40.499527,3,2,60.08
755,-74.23893,40.501324,3,8,60.08
757,-74.23893,40.503124,3,1,60.08
758,-74.23893,40.50402,3,2,60.08
759,-74.23893,40.50492,3,2,60.08
760,-74.23893,40.50582,3,3,60.08
762,-74.23893,40.507618,3,1,60.08
770,-74.23893,40.514812,3,1,60.08
771,-74.23893,40.515713,3,1,60.08
779,-74.23893,40.522907,3,2,60.08
782,-74.23893,40.525604,3,3,60.08
787,-74.23893,40.5301,3,1,60.08
790,-74.23893,40.5328,3,1,60.08
793,-74.23893,40.5355,3,1,60.08
824,-74.23775,40.499527,3,4,60.08
827,-74.23775,40.502224,3,1,60.08
829,-74.23775,40.50402,3,1,60.08
831,-74.23775,40.50582,3,1,60.08
834,-74.23775,40.50852,3,5,60.08
836,-74.23775,40.51032,3,1,60.08
839,-74.23775,40.513016,3,1,60.08
841,-74.23775,40.514812,3,1,60.08
843,-74.23775,40.516613,3,6,60.08
848,-74.23775,40.52111,3,1,60.08
861,-74.23775,40.5328,3,2,60.08
864,-74.23775,40.5355,3,1,60.08
865,-74.23775,40.536396,3,1,60.08
869,-74.23775,40.539993,3,5,60.08
898,-74.236565,40.500423,3,1,60.08
901,-74.236565,40.503124,3,1,60.08
904,-74.236565,40.50582,3,2,60.08
910,-74.236565,40.511215,3,1,60.08
913,-74.236565,40.513916,3,3,60.08
914,-74.236565,40.514812,3,2,60.08
915,-74.236565,40.515713,3,1,60.08
916,-74.236565,40.516613,3,1,60.08
929,-74.236565,40.528305,3,6,60.08
936,-74.236565,40.5346,3,2,60.08
937,-74.236565,40.5355,3,4,60.08
974,-74.23538,40.502224,3,2,60.08
978,-74.23538,40.50582,3,1,60.08
980,-74.23538,40.507618,3,1,60.08
981,-74.23538,40.50852,3,2,60.08
982,-74.23538,40.50942,3,1,60.08
985,-74.23538,40.512115,3,1,60.08
987,-74.23538,40.513916,3,3,60.08
988,-74.23538,40.514812,3,1,60.08
996,-74.23538,40.522007,3,1,60.08
1010,-74.23538,40.5346,3,1,60.08
1014,-74.23538,40.538197,3,1,60.08
1015,-74.23538,40.539097,3,1,60.08
1056,-74.2342,40.50942,3,2,60.08
1058,-74.2342,40.511215,3,1,60.08
1065,-74.2342,40.517513,3,1,60.08
1071,-74.2342,40.522907,3,1,60.08
1083,-74.2342,40.5337,3,2,60.08
1088,-74.2342,40.538197,3,1,60.08
1129,-74.23302,40.507618,3,1,60.08
1139,-74.23302,40.516613,3,3,60.08
1140,-74.23302,40.517513,3,2,60.08
1148,-74.23302,40.524708,3,1,60.08
1170,-74.23302,40.54449,3,1,60.08
1199,-74.231834,40.502224,3,2,60.08
1201,-74.231834,40.50402,3,1,60.08
1205,-74.231834,40.507618,3,1,60.08
1220,-74.231834,40.52111,3,1,60.08
1251,-74.231834,40.54899,3,1,60.08
1284,-74.23065,40.50852,3,1,60.08
1295,-74.23065,40.51841,3,5,60.08
1303,-74.23065,40.525604,3,1,60.08
1305,-74.23065,40.527405,3,2,60.08
1316,-74.23065,40.537296,3,3,60.08
1325,-74.23065,40.54539,3,2,60.08
1327,-74.23065,40.547188,3,1,60.08
1329,-74.23065,40.54899,3,1,60.08
1360,-74.22947,40.507618,3,1,60.08
1361,-74.22947,40.50852,3,1,60.08
1376,-74.22947,40.522007,3,1,60.08
1379,-74.22947,40.524708,3,1,60.08
1403,-74.22947,40.54629,3,11,60.08
1480,-74.22829,40.54629,3,4,60.08
1514,-74.227104,40.507618,3,1,60.08
1604,-74.22592,40.51841,3,2,60.08
1637,-74.22592,40.548088,3,1,60.08
1698,-74.22474,40.5328,3,2,60.08
1748,-74.22356,40.507618,3,1,60.08
1749,-74.22356,40.50852,3,1,60.08
